2021-12-17 15:29:21 [main] INFO  by.rozmysl.reader.TextReader - Read file port/queue.txt is successfully
2021-12-17 15:29:21 [pool-2-thread-1] INFO  by.rozmysl.entity.Port - Port initialized successfully.
2021-12-17 15:29:22 [pool-2-thread-1] INFO  by.rozmysl.service.PortService - The ship1 processed at the berth1 of the port.
2021-12-17 15:29:22 [pool-2-thread-2] INFO  by.rozmysl.service.PortService - The ship2 processed at the berth2 of the port.
2021-12-17 15:29:23 [pool-2-thread-2] INFO  by.rozmysl.service.PortService - ship2`s has finished processing at the berth2 of the port. The warehouse has space for 120 containers.
2021-12-17 15:29:23 [pool-2-thread-1] INFO  by.rozmysl.service.PortService - ship1`s has finished processing at the berth1 of the port. The warehouse has space for 120 containers.
2021-12-17 15:29:24 [pool-2-thread-2] INFO  by.rozmysl.service.PortService - ship3's ship's cargo (300 containers) won't fit.
2021-12-17 15:29:24 [pool-2-thread-2] INFO  by.rozmysl.service.PortService - ship4's ship's cargo (1400 containers) won't fit.
2021-12-17 15:29:24 [pool-2-thread-1] INFO  by.rozmysl.service.PortService - ship3's ship's cargo (300 containers) won't fit.
2021-12-17 15:29:24 [pool-2-thread-1] INFO  by.rozmysl.service.PortService - ship4's ship's cargo (1400 containers) won't fit.
2021-12-17 15:29:24 [pool-2-thread-6] INFO  by.rozmysl.service.PortService - The ship6 processed at the berth1 of the port.
2021-12-17 15:29:24 [pool-2-thread-5] INFO  by.rozmysl.service.PortService - The ship5 processed at the berth2 of the port.
2021-12-17 15:29:25 [pool-2-thread-6] INFO  by.rozmysl.service.PortService - ship6`s has finished processing at the berth1 of the port. The warehouse has space for 1000 containers.
2021-12-17 15:29:25 [pool-2-thread-3] INFO  by.rozmysl.service.PortService - The ship3 processed at the berth1 of the port.
2021-12-17 15:29:25 [pool-2-thread-5] INFO  by.rozmysl.service.PortService - ship5`s has finished processing at the berth2 of the port. The warehouse has space for 700 containers.
2021-12-17 15:29:25 [pool-2-thread-5] INFO  by.rozmysl.service.PortService - ship4's ship's cargo (1400 containers) won't fit.
2021-12-17 15:29:25 [pool-2-thread-5] INFO  by.rozmysl.service.PortService - ship7's ship's cargo (1500 containers) won't fit.
2021-12-17 15:29:25 [pool-2-thread-8] INFO  by.rozmysl.service.PortService - The ship8 processed at the berth2 of the port.
2021-12-17 15:29:26 [pool-2-thread-8] INFO  by.rozmysl.service.PortService - ship8`s has finished processing at the berth2 of the port. The warehouse has space for 1000 containers.
2021-12-17 15:29:26 [pool-2-thread-8] INFO  by.rozmysl.service.PortService - ship4's ship's cargo (1400 containers) won't fit.
2021-12-17 15:29:26 [pool-2-thread-8] INFO  by.rozmysl.service.PortService - ship7's ship's cargo (1500 containers) won't fit.
2021-12-17 15:29:26 [pool-2-thread-9] INFO  by.rozmysl.service.PortService - The ship9 processed at the berth2 of the port.
2021-12-17 15:29:26 [pool-2-thread-3] INFO  by.rozmysl.service.PortService - ship3`s has finished processing at the berth1 of the port. The warehouse has space for 1700 containers.
2021-12-17 15:29:26 [pool-2-thread-4] INFO  by.rozmysl.service.PortService - The ship4 processed at the berth1 of the port.
2021-12-17 15:29:27 [pool-2-thread-9] INFO  by.rozmysl.service.PortService - ship9`s has finished processing at the berth2 of the port. The warehouse has space for 300 containers.
2021-12-17 15:29:27 [pool-2-thread-9] INFO  by.rozmysl.service.PortService - ship7's ship's cargo (1500 containers) won't fit.
2021-12-17 15:29:27 [pool-2-thread-9] INFO  by.rozmysl.service.PortService - ship10's ship's cargo (500 containers) won't fit.
2021-12-17 15:29:27 [pool-2-thread-9] INFO  by.rozmysl.service.PortService - ship11's ship's cargo (680 containers) won't fit.
2021-12-17 15:29:27 [pool-2-thread-12] INFO  by.rozmysl.service.PortService - The ship12 processed at the berth2 of the port.
2021-12-17 15:29:28 [pool-2-thread-12] INFO  by.rozmysl.service.PortService - ship12`s has finished processing at the berth2 of the port. The warehouse has space for 600 containers.
2021-12-17 15:29:28 [pool-2-thread-12] INFO  by.rozmysl.service.PortService - ship7's ship's cargo (1500 containers) won't fit.
2021-12-17 15:29:28 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - The ship10 processed at the berth2 of the port.
2021-12-17 15:29:29 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - ship10`s has finished processing at the berth2 of the port. The warehouse has space for 100 containers.
2021-12-17 15:29:29 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - ship7's ship's cargo (1500 containers) won't fit.
2021-12-17 15:29:29 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - ship11's ship's cargo (680 containers) won't fit.
2021-12-17 15:29:29 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - ship7's cannot be serviced.
2021-12-17 15:29:29 [pool-2-thread-10] INFO  by.rozmysl.service.PortService - ship11's cannot be serviced.
2021-12-17 15:29:30 [pool-2-thread-4] INFO  by.rozmysl.service.PortService - ship4`s has finished processing at the berth1 of the port. The warehouse has space for 100 containers.
